,date,ozone,temperature,relative_humidity,numdeaths
1,2002-01-01,4.586224556,-0.225000009,75.67829895,199
2,2002-01-02,4.876852512,0.087499954,77.52500153,231
3,2002-01-03,4.707875252,0.850000024,81.32499695,210
4,2002-01-04,4.137461185,0.537500024,85.44999695,203
5,2002-01-05,2.005846262,4.25,93.52500153,224
6,2002-01-06,2.401445866,7.068749905,96.40000153,198
7,2002-01-07,4.082940102,5.1875,93.52500153,180
8,2002-01-08,3.127579927,3.512500048,81.5,188
9,2002-01-09,2.052420139,3.224999905,88.32499695,168
10,2002-01-10,5.186887264,5.324999809,85.40000153,194
11,2002-01-11,3.591538906,2.993750095,92.59999847,223
12,2002-01-12,12.86544323,4.762499809,94.17500305,201
13,2002-01-13,17.6133709,8.181249619,91.42500305,204
14,2002-01-14,18.69501686,9.293749809,89.17500305,184
15,2002-01-15,15.95137882,7.237499714,82.82499695,191
16,2002-01-16,9.604250908,4.237499714,83.32499695,181
17,2002-01-17,27.54545403,6.518750191,88.42500305,179
18,2002-01-18,18.27272797,4.643750191,83.32499695,172
19,2002-01-19,44.27272797,7.118750095,70,167
20,2002-01-20,49.90909195,8.931249619,85.80000305,167
21,2002-01-21,38.09090805,10.83749962,81.22499847,189
22,2002-01-22,43.09090805,9.043749809,71.32500458,183
23,2002-01-23,46.90909195,9.287500381,83.22499847,193
24,2002-01-24,34.54545593,8.5625,76.02500153,173
25,2002-01-25,26,6.618750095,80.94999695,177
26,2002-01-26,60.63636398,9.243749619,84.55000305,174
27,2002-01-27,42.45454407,10.45625019,90.30000305,169
28,2002-01-28,56.09464264,10.33125019,61.47499847,204
29,2002-01-29,38.11042023,10.90625,77.52500153,164
30,2002-01-30,33.01515579,11.13125038,82.9750061,160
31,2002-01-31,46.71896362,8.481249809,72.69999695,192
32,2002-02-01,58.20595932,9.856249809,78.55000305,173
33,2002-02-02,60.52612305,12.18124962,73.02500153,167
34,2002-02-03,39.26398849,9.53125,79.55000305,180
35,2002-02-04,44.39678574,8.056249619,89.17500305,143
36,2002-02-05,48.00188446,9.581250191,76.55000305,194
37,2002-02-06,33.9189949,7.25,64.05000305,148
38,2002-02-07,21.53743172,6.300000191,79.32499695,144
39,2002-02-08,28.50093651,9.487500191,89.77500153,169
40,2002-02-09,54.19873428,10.13749981,62.375,171
41,2002-02-10,55.5718956,9.100000381,68.75,155
42,2002-02-11,44.50498962,11.03125,86.5,146
43,2002-02-12,38.99726868,11.5,69.59999847,141
44,2002-02-13,22.2712574,7.824999809,78.52500153,150
45,2002-02-14,32.82904053,5.456250191,59.07500076,177
46,2002-02-15,16.25182343,3.5625,72.40000153,177
47,2002-02-16,16.37057686,5.112500191,70.625,166
48,2002-02-17,7.431434155,3.706249952,79.02500153,154
49,2002-02-18,21.7264328,5.650000095,66.25,186
50,2002-02-19,45.15992355,8.337499619,68.22499847,171
51,2002-02-20,48.63015747,8.149999619,59.27499771,151
52,2002-02-21,31.81117058,5.199999809,65.90000153,169
53,2002-02-22,50.5238533,9.131250381,67.75,185
54,2002-02-23,57.07624435,5.556250095,74.55000305,154
55,2002-02-24,41.76553726,5.756249905,84.17500305,161
56,2002-02-25,45.64722824,9.206250191,88.72499847,163
57,2002-02-26,58.5707283,9.543749809,68.57499695,183
58,2002-02-27,54.78866196,5.931250095,66.30000305,153
59,2002-02-28,41.1239357,6.993750095,62.07500076,155
